,mean_importance,max_importance,n_features,top_feature,top_score
Pressão Arterial,0.36071376478989226,0.4583352702440626,2,pressao_sistolica,0.4583352702440626
Antropométricas,0.057804250255732235,0.057804250255732235,1,imc,0.057804250255732235
Demografia,0.03841937191572725,0.07023861707958669,2,idade,0.07023861707958669
Biomarcadores,0.03115439849791451,0.032835907608675684,2,colesterol_total,0.032835907608675684
Medicamentos,0.015002156816698791,0.02870639252608871,2,medicamento_pressao,0.02870639252608871
Estilo de Vida,0.003922501257486012,0.003922501257486012,1,fumante_atualmente,0.003922501257486012
