,modelo,accuracy,precision,recall,specificity,f1_score,f2_score,auc_roc,true_negatives,false_positives,false_negatives,true_positives,false_negative_rate,false_positive_rate
Random Forest,Random Forest,0.717654986522911,1.0,0.0911062906724512,1.0,0.16699801192842942,0.11134676564156946,0.5526131089072801,1023,0,419,42,0.9088937093275488,0.0
Gradient Boosting,Gradient Boosting,0.717654986522911,1.0,0.0911062906724512,1.0,0.16699801192842942,0.11134676564156946,0.5820520649783822,1023,0,419,42,0.9088937093275488,0.0
Decision Tree,Decision Tree,0.717654986522911,1.0,0.0911062906724512,1.0,0.16699801192842942,0.11134676564156946,0.5455531453362256,1023,0,419,42,0.9088937093275488,0.0
Logistic Regression,Logistic Regression,0.6893530997304582,0.0,0.0,1.0,0.0,0.0,0.742904519267265,1023,0,461,0,1.0,0.0
XGBoost,XGBoost,0.6893530997304582,0.0,0.0,1.0,0.0,0.0,0.5808996125978843,1023,0,461,0,1.0,0.0
