proporcao,test_size,n_treino,n_teste,recall_mean,recall_std,f2_mean,f2_std,fn_mean,fn_std,fp_mean,estabilidade_score,score_combinado
85/15,0.15,3604,636,0.8797979797979799,0.011692764548272963,0.8611625967402083,0.00867743022865409,23.8,2.315167380558045,45.2,0.9913972197963357,0.8537542042008355
82/18,0.18,3476,763,0.8869198312236287,0.019862619908759205,0.8683767147006636,0.01491147328742087,26.8,4.707440918375928,52.0,0.9853076118657711,0.8556181869615549
80/20,0.2,3392,848,0.8798479087452471,0.023140873087000687,0.8630763881923782,0.017837544156287702,31.6,6.086049621881176,57.0,0.9824750577744962,0.8479510243531102
78/22,0.22,3307,932,0.8813793103448276,0.018836552115514018,0.8642601233781877,0.01384754083479478,34.4,5.4626001134990645,63.0,0.9863415944931987,0.8524557081497303
75/25,0.25,3180,1060,0.8826747720364742,0.02590550243484803,0.8647933098505671,0.020439975151310914,38.6,8.522910301065007,72.4,0.9799694488171339,0.8474710231950051
72/28,0.28,3052,1187,0.8861788617886178,0.024420336750284672,0.8687656472103148,0.02009927918698577,42.0,9.011104260855047,78.8,0.980296742094549,0.8516481336039339
70/30,0.3,2968,1272,0.8881012658227847,0.021565103229414545,0.8714550335188134,0.018407193526722532,44.2,8.51821577561874,81.8,0.9819255071608648,0.8557039257558493
68/32,0.32,2883,1356,0.8872037914691944,0.021014027751085646,0.8707283351561076,0.017595531162975145,47.6,8.867919710958146,87.4,0.9827087181260851,0.8556723260773187
65/35,0.35,2756,1484,0.8928416485900217,0.013058496263160423,0.8740938080343836,0.011321707051358133,49.4,6.019966777316965,98.8,0.9888050390173391,0.8643083619582532
