,mean_importance,max_importance,n_features,top_feature,top_score
Pressão Arterial,0.3524259194139865,0.4370195148101961,2,pressao_sistolica,0.4370195148101961
Antropométricas,0.06045471123855544,0.06045471123855544,1,imc,0.06045471123855544
Demografia,0.03890886848112442,0.058451627516879635,2,idade,0.058451627516879635
Biomarcadores,0.03283952995970112,0.036089864370189,2,colesterol_total,0.036089864370189
Medicamentos,0.01500695204650138,0.029514218581225597,2,medicamento_pressao,0.029514218581225597
Estilo de Vida,0.011455621019638918,0.011455621019638918,1,fumante_atualmente,0.011455621019638918
